timestamp,experiment_id,hypothesis,dataset,model,spec,metrics,notes,research_phase
2025-11-25T14:30:00,exp_20251125_01,"收入变量存在极端异常值",CFPS_2018_2022,描述性统计,"winsorize(1%,99%)","{max_income_before: 1250000, max_income_after: 450000, outlier_count: 324}","处理了极端值，保留了99%样本",data_preprocess
2025-11-25T15:45:00,exp_20251125_02,"教育水平与收入正相关",CFPS_cleaned,OLS回归,"income = β₀ + β₁(education)","{r_squared: 0.42, education_coef: 0.083, p_value: 0.000}","基础回归结果显著，但存在异方差",data_analyse
2025-11-27T10:30:00,exp_20251127_01,"数字化技能可量化测量",CFPS_cleaned,主成分分析,"PCA([internet_freq, device_count, online_work])","{pc1_variance: 0.58, eigenvalue_pc1: 1.74, kmo: 0.82}","第一主成分解释58%方差",data_preprocess
2025-11-27T14:20:00,exp_20251127_02,"数字化技能提高收入",CFPS_with_digital,OLS回归,"log(income) = β₀ + β₁(education) + β₂(digital_skill)","{r_squared: 0.72, digital_coef: 0.121, p_value: 0.000}","数字化技能回报率12.1%，高于教育",modeling
2025-11-27T16:45:00,exp_20251127_03,"存在多重共线性问题",CFPS_with_digital,VIF检验,"VIF(education,digital_skill,age,experience)","{max_vif: 2.8, mean_vif: 1.9}","VIF值均小于3，多重共线性不严重",modeling
2025-11-30T10:15:00,exp_20251130_01,"收入分布右偏，需要对数变换",CFPS_with_digital,Box-Cox变换,"λ optimization on income","{optimal_lambda: 0.23, log_likelihood: -15234}","λ接近0，支持对数变换",data_preprocess
2025-11-30T13:30:00,exp_20251130_02,"年龄与收入关系非线性",CFPS_transformed,二次项回归,"log(income) = β₀ + β₁(age) + β₂(age²)","{age_coef: 0.042, age2_coef: -0.0003, age2_p: 0.008}","二次项显著，支持非线性假设",modeling
2025-11-30T15:45:00,exp_20251130_03,"对数线性模型最优",CFPS_final,OLS稳健标准误,"log(income) = β₀ + β₁(education) + β₂(digital_skill) + β₃(age) + β₄(age²)","{r_squared: 0.78, f_statistic: 45.3, bp_test_p: 0.15}","模型拟合度良好，异方差问题解决",modeling
2025-12-01T09:20:00,exp_20251201_01,"教育存在内生性",CFPS_final,工具变量回归,"2SLS: parents_education as IV","{first_stage_f: 28.4, education_coef_2sls: 0.078, education_coef_ols: 0.083}","工具变量有效，教育系数略降但依然显著",robustness
2025-12-01T14:10:00,exp_20251201_02,"结果在不同样本中稳健",CFPS_final,样本分割回归,"split by age_group(<30, 30-50, >50)","{young_r2: 0.71, middle_r2: 0.79, old_r2: 0.68}","模型在不同年龄组中均显著",robustness
2025-12-02T09:15:00,exp_20251202_01,"H1: 数字化技能教育显著提高收入",CFPS_final,分位数回归,"quantile(0.25,0.5,0.75) on digital_skill","{q25_coef: 0.089, q50_coef: 0.121, q75_coef: 0.156}","数字化技能对高收入群体回报更高",robustness2025-12-03T00:55:35.899084+00:00,exp_20251203_085535,教育存在内生性，需要工具变量处理,CFPS_final,2SLS工具变量回归,,"{""first_stage_f"": 28.4, ""education_coef_2sls"": 0.078, ""education_coef_ols"": 0.083, ""weak_instrument_test"": ""Passed"", ""endogeneity_test"": ""Significant""}",工具变量有效，教育系数略降但依然显著,"modeling,robustness,data_analyse,notes"
